date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:55	214324/214324	---M--	200	added ('OK')	image/jpeg	etag:%22e0bb52a01c17d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/3/Thumbnails12492021034934.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/3/Thumbnails12492021034934.jpg	(from http://ueb.vnu.edu.vn/)
18:53:16	184020/184020	---M--	200	added ('OK')	image/jpeg	etag:%22c1f3869ef0fd71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/3/Thumbnails03462021124655.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/3/Thumbnails03462021124655.jpg	(from http://ueb.vnu.edu.vn/)
18:53:19	146032/146032	---M--	200	added ('OK')	image/jpeg	etag:%22733121ed7da0d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/10/Thumbnails12562020045616.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/10/Thumbnails12562020045616.jpg	(from http://ueb.vnu.edu.vn/)
18:53:36	101249/101249	---M--	200	added ('OK')	image/jpeg	etag:%22aaeda4561a80d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/9/Thumbnails01422020114246.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/9/Thumbnails01422020114246.jpg	(from http://ueb.vnu.edu.vn/)
18:53:39	428667/428667	---M--	200	added ('OK')	image/jpeg	etag:%225910293dd410d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/3/Thumbnails04562021035617.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/3/Thumbnails04562021035617.jpg	(from http://ueb.vnu.edu.vn/)
18:53:41	308025/308025	---M--	200	added ('OK')	image/jpeg	etag:%22f7cb25601bcd71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/2/Thumbnails26422021034254.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/2/Thumbnails26422021034254.jpg	(from http://ueb.vnu.edu.vn/)
18:54:08	197663/197663	---M--	200	added ('OK')	image/jpeg	etag:%224b83ac31c67d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/7/Thumbnails31212020042147.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/7/Thumbnails31212020042147.jpg	(from http://ueb.vnu.edu.vn/)
18:54:34	162160/162160	---M--	200	added ('OK')	image/jpeg	etag:%22bef7f6a44654d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/7/Thumbnails07092020050904.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/7/Thumbnails07092020050904.jpg	(from http://ueb.vnu.edu.vn/)
18:54:36	499412/499412	---M--	200	added ('OK')	image/jpeg	etag:%229421b3e75582d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/9/Thumbnails04542020075412.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/9/Thumbnails04542020075412.jpg	(from http://ueb.vnu.edu.vn/)
18:55:06	179627/179627	---M--	200	added ('OK')	image/jpeg	etag:%2223c0910f13ad61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/6/Thumbnails05232020112302.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/6/Thumbnails05232020112302.jpg	(from http://ueb.vnu.edu.vn/)
18:55:29	679758/679758	---M--	200	added ('OK')	image/jpeg	etag:%221d37df5c8265d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/7/Thumbnails29292020032923.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/7/Thumbnails29292020032923.jpg	(from http://ueb.vnu.edu.vn/)
18:55:36	186382/186382	---M--	200	added ('OK')	image/jpeg	etag:%22f069e9e13233d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/5/Thumbnails26542020025428.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/5/Thumbnails26542020025428.jpg	(from http://ueb.vnu.edu.vn/)
18:56:19	982391/982391	---M--	200	added ('OK')	image/jpeg	etag:%2294799f44ea5bd61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/7/Thumbnails17272020102758.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/7/Thumbnails17272020102758.jpg	(from http://ueb.vnu.edu.vn/)
18:56:21	276712/276712	---M--	200	added ('OK')	image/jpeg	etag:%221219bc5aa635d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/5/Thumbnails29092020050955.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/5/Thumbnails29092020050955.jpg	(from http://ueb.vnu.edu.vn/)
18:56:36	416277/416277	---M--	200	added ('OK')	image/jpeg	etag:%22f10c8d18838d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/6/Thumbnails02522020095213.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/6/Thumbnails02522020095213.jpg	(from http://ueb.vnu.edu.vn/)
18:57:18	365573/365573	---M--	200	added ('OK')	image/jpeg	etag:%22aa7e16386a35d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/5/Thumbnails29352020103537.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/5/Thumbnails29352020103537.jpg	(from http://ueb.vnu.edu.vn/)
18:57:21	1030385/1030385	---M--	200	added ('OK')	image/png	etag:%22cdcbc3e4c50d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/7/Thumbnails02392020033905.png	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/7/Thumbnails02392020033905.png	(from http://ueb.vnu.edu.vn/)
18:57:44	157940/157940	---M--	200	added ('OK')	image/jpeg	etag:%22386da17be6ed61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/4/Thumbnails10162020101653.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/4/Thumbnails10162020101653.jpg	(from http://ueb.vnu.edu.vn/)
18:57:51	556166/556166	---M--	200	added ('OK')	image/png	etag:%2275679941b34d61:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2020/5/Thumbnails27432020044320.png	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2020/5/Thumbnails27432020044320.png	(from http://ueb.vnu.edu.vn/)
18:57:56	28085/28085	---M--	200	added ('OK')	image/jpeg	etag:%227d510c533bd41:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2018/8/Thumbnails24342018093457.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2018/8/Thumbnails24342018093457.jpg	(from http://ueb.vnu.edu.vn/)
18:57:58	84802/84802	---M--	200	added ('OK')	image/jpeg	etag:%22fd3966d88d72d41:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2018/11/Thumbnails02242018042424.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2018/11/Thumbnails02242018042424.jpg	(from http://ueb.vnu.edu.vn/)
18:57:58	14648/14648	---M--	200	added ('OK')	image/jpeg	etag:%22432b2d8db52cd41:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2018/8/Thumbnails05122018071216.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2018/8/Thumbnails05122018071216.jpg	(from http://ueb.vnu.edu.vn/)
18:58:08	54267/54267	---M--	200	added ('OK')	image/jpeg	etag:%22eef06d6cfd1ad41:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2018/7/Thumbnails14012018060124.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2018/7/Thumbnails14012018060124.jpg	(from http://ueb.vnu.edu.vn/)
18:58:29	131171/131171	---M--	200	added ('OK')	image/jpeg	etag:%2239aea83e6bbfd31:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2018/3/Thumbnails19152018051545.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2018/3/Thumbnails19152018051545.jpg	(from http://ueb.vnu.edu.vn/)
